marca,modelo,transmision,combustible,propulsion,cilindrada,carroceria,co2,ciudad,carretera,mixto
Fiat,Pulse Drive AT,A,Gasolina,Combustión,1.3,Hatchback,143,13.1,19.2,16.4
Chevrolet,Silverado CC 6.2L AT10 4x4,A,Gasolina,Combustión,6.2,Camioneta,345,4.8,9.0,6.8
Chevrolet,Tahoe 5.3L AT10 8 Asientos 4x4,A,Gasolina,Combustión,5.3,Station Wagon,266,6.7,11.0,8.9
Chevrolet,Tahoe 5.3L AT10 7 Asientos 4x4,A,Gasolina,Combustión,5.3,Station Wagon,266,6.7,11.0,8.9
Chevrolet,Suburban 5.3L AT10 8 Asientos 4x4,A,Gasolina,Combustión,5.3,Station Wagon,266,6.7,11.0,8.9
Chevrolet,Suburban 5.3L AT10 7 Asientos 4x4,A,Gasolina,Combustión,5.3,Station Wagon,266,6.7,11.0,8.9
Chevrolet,Tahoe 5.3L AT10 8 Asientos 4x2,A,Gasolina,Combustión,5.3,Station Wagon,266,6.7,11.0,8.9
Chevrolet,Tahoe 5.3L AT10 7 Asientos 4x2,A,Gasolina,Combustión,5.3,Station Wagon,266,6.7,11.0,8.9
Chevrolet,Suburban 5.3L AT10 8 Asientos 4x2,A,Gasolina,Combustión,5.3,Station Wagon,266,6.7,11.0,8.9
Chevrolet,Suburban 5.3L AT10 7 Asientos 4x2,A,Gasolina,Combustión,5.3,Station Wagon,266,6.7,11.0,8.9
Land Rover,Discovery Sport 2.0i S,A,Gasolina/Híbrido,Vehículo Microhíbrido,2.0,Station Wagon,189,9.4,14.1,11.9
Land Rover,Discovery Sport 2.0i S (7 pas.),A,Gasolina/Híbrido,Vehículo Microhíbrido,2.0,Station Wagon,189,9.4,14.1,11.9
Porsche,Cayenne Turbo GT E3,A,Gasolina,Combustión,4.0,Station Wagon,274,5.9,10.9,8.3
Iveco,Daily 35-150,M,Diésel ,Combustión,3.0,Camioneta,253,8.8,11.0,10.1
Peugeot,Traveller L3 8P Blue HDi 180 EAT8,A,Diésel ,Combustión,2.0,Minibus,150,16.9,18.5,17.8
Iveco,Daily 30-130,M,Diésel ,Combustión,2.3,Furgón,249,10.4,10.7,10.6
Fiat,Pulse MT,M,Gasolina,Combustión,1.3,Hatchback,148,11.9,19.5,15.8
Jaguar,XE 2.0i SE,A,Gasolina,Combustión,2.0,Sedán,174,10.4,15.2,13.0
Jaguar,XE 2.0i R-Dynamic SE,A,Gasolina,Combustión,2.0,Sedán,174,10.4,15.2,13.0
Jaguar,XE 2.0i S,A,Gasolina,Combustión,2.0,Sedán,174,10.4,15.2,13.0
Jaguar,XE 2.0i HSE,A,Gasolina,Combustión,2.0,Sedán,174,10.4,15.2,13.0
Jaguar,XE 2.0i R-Dynamic S,A,Gasolina,Combustión,2.0,Sedán,174,10.4,15.2,13.0
Jaguar,XE 2.0i R-Dynamic HSE,A,Gasolina,Combustión,2.0,Sedán,174,10.4,15.2,13.0
Fiat,Pulse Impetus TF200,A,Gasolina,Combustión,1.0,Hatchback,153,11.8,18.5,15.2
Fiat,Pulse Audace TF200,A,Gasolina,Combustión,1.0,Hatchback,153,11.8,18.5,15.2
Land Rover,Defender 110 3.0i HSE 5 Asientos,A,Gasolina/Híbrido,Vehículo Microhíbrido,3.0,Station Wagon,227,8.0,11.8,10.1
Land Rover,Defender 110 3.0i S 5 Asientos,A,Gasolina/Híbrido,Vehículo Microhíbrido,3.0,Station Wagon,227,8.0,11.8,10.1
Land Rover,Defender 110 3.0i SE 5 Asientos,A,Gasolina/Híbrido,Vehículo Microhíbrido,3.0,Station Wagon,227,8.0,11.8,10.1
Land Rover,Defender 110 3.0i S 6 Asientos,A,Gasolina/Híbrido,Vehículo Microhíbrido,3.0,Station Wagon,227,8.0,11.8,10.1
Land Rover,Defender 110 3.0i SE 6 Asientos,A,Gasolina/Híbrido,Vehículo Microhíbrido,3.0,Station Wagon,227,8.0,11.8,10.1
Land Rover,Defender 110 3.0i HSE 6 Asientos,A,Gasolina/Híbrido,Vehículo Microhíbrido,3.0,Station Wagon,227,8.0,11.8,10.1
Land Rover,Defender 110 3.0i S 7 Asientos,A,Gasolina/Híbrido,Vehículo Microhíbrido,3.0,Station Wagon,227,8.0,11.8,10.1
Land Rover,Defender 110 3.0i SE 7 Asientos,A,Gasolina/Híbrido,Vehículo Microhíbrido,3.0,Station Wagon,227,8.0,11.8,10.1
Land Rover,Defender 110 3.0i HSE 7 Asientos,A,Gasolina/Híbrido,Vehículo Microhíbrido,3.0,Station Wagon,227,8.0,11.8,10.1
Land Rover,Defender 110 3.0i XS Edition 5 Asientos,A,Gasolina/Híbrido,Vehículo Microhíbrido,3.0,Station Wagon,227,8.0,11.8,10.1
Land Rover,Defender 110 3.0i XS Edition 6 Asientos,A,Gasolina/Híbrido,Vehículo Microhíbrido,3.0,Station Wagon,227,8.0,11.8,10.1
