marca,modelo,transmision,combustible,propulsion,cilindrada,carroceria,co2,ciudad,carretera,mixto
BMW,"X6 xDrive 35i 3,0 Lts. Station Wagon 5P. T/A 4x4 Otto ",A,Gasolina,Combustión,3.0,Station Wagon,198,8.8,14.5,11.8
BMW,"X5 xDrive35i 3,0 Lts. Station Wagon 5P. 7 Asientos T/A 4x4 Otto",A,Gasolina,Combustión,3.0,Station Wagon,198,8.8,14.5,11.8
M. Benz,"Vito 109 CDI Tourer 1,6 Lts. Station Wagon 8 asientos 4P. T/M Diésel ",M,Diésel,Combustión,1.6,Station Wagon,169,12.6,17.8,15.6
M. Benz,"Vito 109 CDI 1,6 Lts. Furgón 4P. T/M Diésel",M,Diésel,Combustión,1.6,Furgón,163,12.9,19.2,16.1
M. Benz,"Vito 109 CDI Tourer 1,6 Lts. Minibus 10 asientos 5P. T/M Diésel ",M,Diésel,Combustión,1.6,Minibus,169,12.6,17.8,15.6
M. Benz,"Vito 109 CDI Tourer 1,6 Lts. Minibus 8 asientos 4P. T/M Diésel ",M,Diésel,Combustión,1.6,Minibus,169,12.7,17.9,15.6
Audi,"TT 2,0 Lts. Coupé 2P. T/A Otto ",A,Gasolina,Combustión,2.0,Coupé,146,12.2,19.2,15.9
Audi,"TT 2,0 Lts. Cabriolet 2P. T/A Otto ",A,Gasolina,Combustión,2.0,Cabriolet,151,11.9,18.5,15.4
Baic,"Advance 1,5 Lts. Sedán 4P. T/M Otto ",M,Gasolina,Combustión,1.5,Sedán,166,11.8,16.4,14.3
Opel,"Corsa HB5 1,4 Lts. Hatchback 5P. T/M Otto ",M,Gasolina,Combustión,1.4,Hatchback,120,15.2,22.7,19.2
Opel,"Corsa HB3 1,4 Lts. Hatchback 3P. T/M Otto ",M,Gasolina,Combustión,1.4,Hatchback,120,15.2,23.3,19.2
Lamborghini,"Huracán LP610-4 5,2 Lts. Coupé 2P. T/A 4x4 Otto ",A,Gasolina,Combustión,5.2,Coupé,301,5.4,10.3,7.7
Lamborghini,"Huracán LP610-4 5,2 Lts. Convertible 2P. T/A 4x4",A,Gasolina,Combustión,5.2,Cabriolet,285,5.7,10.9,8.1
Lamborghini,"Huracán LP580-2 5,2 Lts. Coupé 2P. T/A 4x2 Otto ",A,Gasolina,Combustión,5.2,Coupé,278,5.8,11.2,8.4
Lamborghini,"Huracán LP580-2 5,2 Lts. Convertible 2P. T/A 4x2 Otto",A,Gasolina,Combustión,5.2,Cabriolet,283,5.7,11.0,8.3
Kenbo,"T205-D Minitruck 1,0 Lts Camioneta 2P. T/M Otto ",M,Gasolina,Combustión,1.0,Camioneta,179,10.6,15.5,13.3
Kenbo,"T206-C Cargo Van 1,0 Lts. Furgón 5P. T/M Otto",M,Gasolina,Combustión,1.0,Furgón,179,10.6,15.5,13.3
BMW,"420i 2,0 Lts. Cabriolet 2P. T/A Otto",A,Gasolina,Combustión,2.0,Cabriolet,149,11.6,19.2,15.6
Nissan,NP300 (D23) DC 2.3 AT 4x4,A,Diésel,Combustión,2.3,Camioneta,195,11.0,15.7,13.5
Nissan,NP300 NAVARA (D23) DC 2.3 AT 4x4,A,Diésel,Combustión,2.3,Camioneta,199,10.6,15.6,13.3
Ford,"Focus 2,0 Lts. Sedán 4P. T/M Otto ",M,Gasolina,Combustión,2.0,Sedán,174,10.1,17.0,13.6
Ford,"Focus 2,0 Lts. Hatchback 5P. T/M Otto ",M,Gasolina,Combustión,2.0,Hatchback,174,10.1,17.0,13.6
Ford,"Focus 2,0 Lts. Sedán 4P. T/A Otto ",A,Gasolina,Combustión,2.0,Sedán,187,9.5,15.8,12.7
Ford,"Focus 2,0 Lts. Hatchback 5P. T/A Otto ",A,Gasolina,Combustión,2.0,Hatchback,187,9.5,15.8,12.7
Ford,"Focus Titanium 2,0 Lts. Hatchback 5P. T/A Otto ",A,Gasolina,Combustión,2.0,Hatchback,187,9.5,15.8,12.7
BMW,"220i 2,0 Lts. Cabriolet 2P. T/A Otto",A,Gasolina,Combustión,2.0,Cabriolet,144,12.0,20.0,16.1
Ford,"F150 Lariat Luxury 5,0 Lts. Camioneta 4P. T/A 4x4 Motor Otto ",A,Gasolina,Combustión,5.0,Camioneta,337,5.0,9.1,7.0
Ford,"F150 Lariat Sport 5,0 Lts. Camioneta 4P. T/A 4x4 Motor Otto ",A,Gasolina,Combustión,5.0,Camioneta,337,5.0,9.1,7.0
Ford,"F150 XLT 5,0 Lts. Camioneta 4P. T/A Motor Otto ",A,Gasolina,Combustión,5.0,Camioneta,337,5.0,9.1,7.0
Nissan,NP300 (D23) DC 2.3 MT 4x4,M,Diésel,Combustión,2.3,Camioneta,173,13.4,16.5,15.2
Nissan,NP300 (D23) DC 2.3 MT 4x2,M,Diésel,Combustión,2.3,Camioneta,173,13.4,16.5,15.2
Nissan,NP300 (D23) SC 2.3 MT 4x2,M,Diésel,Combustión,2.3,Camioneta,173,13.4,16.5,15.2
Nissan,NP300 (D23) SC 2.3 MT 4x4,M,Diésel,Combustión,2.3,Camioneta,173,13.4,16.5,15.2
Nissan,NP300 NAVARA (D23) DC 2.3 MT 4x4,M,Diésel,Combustión,2.3,Camioneta,178,13.0,16.2,14.8
Nissan,NP300 NAVARA (D23) DC 2.3 MT 4x2,M,Diésel,Combustión,2.3,Camioneta,178,13.0,16.2,14.8
Nissan,NP300 NAVARA (D23) DC 2.3 MT 4x2,M,Diésel,Combustión,2.3,Camioneta,178,13.0,16.2,14.8
Nissan,NP300 NAVARA (D23) SC 2.3 MT 4x4,M,Diésel,Combustión,2.3,Camioneta,178,13.0,16.2,14.8
Nissan,NP300 NAVARA (D23) SC 2.3 MT 4x2,M,Diésel,Combustión,2.3,Camioneta,178,13.0,16.2,14.8
Nissan,"Altima (L33) 2,5 Lts. Sedán 4P. T/A Otto ",A,Gasolina,Combustión,2.5,Sedán,231,6.0,17.1,10.2
Nissan,"Altima (L33) 3,5 Lts. Sedán 4P. T/A Otto ",A,Gasolina,Combustión,3.5,Sedán,213,7.9,14.7,11.2
Ssangyong,"Tivoli 1,6 Lts. Station Wagon 5P. T/M Otto ",M,Gasolina,Combustión,1.6,Station Wagon,175,10.3,16.4,13.4
Ssangyong,"Tivoli 1,6 Lts. Station Wagon 5P. T/A Otto ",A,Gasolina,Combustión,1.6,Station Wagon,180,9.8,16.5,13.1
Suzuki,"Ciaz 1,4 Lts. Sedán 4P. T/M Otto",M,Gasolina,Combustión,1.4,Sedán,132,14.0,21.6,18.0
M. Benz,"S400 Hybrid 3,5 Lts. Sedán 4P. T/A Hibrido Eléctrico",A,Gasolina/Híbrido,Vehículos híbridos sin recarga exterior,3.5,Sedán,156,13.9,15.4,14.7
Renault,"Clio IV 0,9 Lts. Hatchback 5P. T/M Otto",M,Gasolina,Combustión,0.9,Hatchback,136,13.2,21.3,17.4
M. Benz,"C400 4Matic 3,0 Lts. Sedán 4P. T/A Otto",A,Gasolina,Combustión,3.0,Sedán,180,9.8,16.1,13.0
M. Benz,"C 450 AMG 4Matic 3,0 Lts. Sedán 4P. T/A Otto",A,Gasolina,Combustión,3.0,Sedán,180,9.8,16.1,13.0
Fiat,"Punto E6 1,4 Lts. Hatchback 5P. T/M Otto ",M,Gasolina,Combustión,1.4,Hatchback,134,13.3,20.8,17.2
Fiat,"Punto E6 1,4 Lts. Hatchback 3P. T/M Otto ",M,Gasolina,Combustión,1.4,Hatchback,134,13.3,20.8,17.2
Mitsubishi,"L200 Katana CRT 2,4 Lts. Camioneta 4P. T/M 4x4 Diésel",M,Diésel,Combustión,2.4,Camioneta,195,10.9,15.7,13.5
Mitsubishi,"L200 Dakar 2,4 Lts. Camioneta 4P. T/M 4x4 Diésel",M,Diésel,Combustión,2.4,Camioneta,195,10.9,15.7,13.5
Mitsubishi,"L200 Katana CRM 2,4 Lts. Camioneta 4P. T/M 4x4 Diésel",M,Diésel,Combustión,2.4,Camioneta,195,10.9,15.7,13.5
Mitsubishi,"L200 Katana CR 2,4 Lts. Camioneta 4P. T/M 4x2 Diésel ",M,Diésel,Combustión,2.4,Camioneta,195,10.9,15.7,13.5
Mitsubishi,"L200 Work CR 2,4 Lts. Camioneta 4P. T/M 4x2 Diésel ",M,Diésel,Combustión,2.4,Camioneta,195,10.9,15.7,13.5
Porsche,"911 Carrera 4 GTS 3,8 Lts. Coupé 2P. 4x4 T/A Otto ",A,Gasolina,Combustión,3.8,Coupé,220,8.0,14.1,11.0
Porsche,"911 Carrera 4 GTS Cabrio 3,8 Lts. Cabriolet 2P. 4x4 T/A Otto ",A,Gasolina,Combustión,3.8,Cabriolet,220,8.0,14.1,10.9
Porsche,"911 Carrera GTS 3,8 Lts. Coupé 2P. 4x2 T/A Otto ",A,Gasolina,Combustión,3.8,Coupé,208,8.2,14.9,11.5
Porsche,"911 Carrera GTS Cabrio 3,8 Lts. Cabriolet 2P. 4x2 T/A Otto ",A,Gasolina,Combustión,3.8,Cabriolet,213,8.1,14.5,11.2
Suzuki,"Ciaz 1,4 Lts. Sedán 4P. T/A Otto ",A,Gasolina,Combustión,1.4,Sedán,131,14.2,21.5,18.1
BMW,"M235i 3,0 Lts. Cabriolet 2P. T/A Otto ",A,Gasolina,Combustión,3.0,Cabriolet,184,9.3,16.1,12.7
BMW,"X6 M 4,4 Lts. Station Wagon 5P. T/A Otto",A,Gasolina,Combustión,4.4,Station Wagon,258,6.8,11.1,9.0
BMW,"X5 M 4,4, Lts. Station Wagon 5P. T/A Otto ",A,Gasolina,Combustión,4.4,Station Wagon,258,6.8,11.1,9.0
Peugeot,"308 1,6 Lts. Blue-Hdi 120HP Hatchback 5P. T/M Diésel ",M,Diésel,Combustión,1.6,Hatchback,112,19.4,27.0,23.6
Mazda,"Mazda2 Sport 1,5 Lts. Hatchback 5P. T/M Otto ",M,Gasolina,Combustión,1.5,Hatchback,132,13.7,21.9,18.0
Hyundai,"HD35 (LWB) 2,5 Lts. Camioneta 2P. T/M Diésel ",M,Diésel,Combustión,2.5,Camioneta,298,6.3,11.6,8.9
Hyundai,"HD35 (LWB) 2,5 Lts. Chasis Cabina 2P. T/M Diésel",M,Diésel,Combustión,2.5,Camioneta,298,6.3,11.6,8.9
Hyundai,"HD35 (SWB) 2,5 Lts. Chasis Cabina 2P. T/M Diésel ",M,Diésel,Combustión,2.5,Camioneta,298,6.3,11.6,8.9
Peugeot,"308 1,6 Lts. Blue-HDi 120HP Hatchback 5P. T/A Diésel ",A,Diésel,Combustión,1.6,Hatchback,110,21.1,26.2,24.1
Peugeot,"308 1,6 Lts. Blue-HDi 120HP Station Wagon 5P. T/A Diésel ",A,Diésel,Combustión,1.6,Station Wagon,110,21.1,26.2,24.1
Citroen,"C4 STT 1,2 Lts. Hatchback 5P. T/A Otto ",A,Gasolina,Combustión,1.2,Hatchback,121,15.6,22.7,19.2
Peugeot,"3008 1,6 Lts. Blue Hdi 120HP. Station Wagon 5P. T/A Diésel ",A,Diésel,Combustión,1.6,Station Wagon,140,14.9,22.4,18.9
Peugeot,"3008 1,6 Lts. Blue Hdi 120HP. Station Wagon 5P. T/M Diésel ",M,Diésel,Combustión,1.6,Station Wagon,122,17.8,24.6,21.6
Mitsubishi,"L200 Dakar 2,4 Lts. Camioneta 4P. T/A 4x4 Diésel",A,Diésel,Combustión,2.4,Camioneta,213,10.3,14.2,12.4
Audi,"A1 TFSI 1,4 Lts. Hatchback 3P. T/M Otto ",M,Gasolina,Combustión,1.4,Hatchback,123,14.9,22.7,19.2
Audi,"A1 TFSI 1,4 Lts. Hatchback 5P. T/M Otto ",M,Gasolina,Combustión,1.4,Hatchback,123,14.9,22.7,19.2
Audi,"A1 TFSI 1,4 Lts. Hatchback 3P. T/A Otto ",A,Gasolina,Combustión,1.4,Hatchback,117,15.9,22.7,19.6
Audi,"A1 TFSI 1,4 Lts. Hatchback 5P. T/A Otto ",A,Gasolina,Combustión,1.4,Hatchback,120,15.6,22.2,19.2
Fiat,"Fiorino Cargo City 1,4 Lts. Furgón 5P. T/M Otto ",M,Gasolina,Combustión,1.4,Furgón,189,9.4,15.5,12.5
RAM,"RAM VAN 700 CITY 1,4 Lts. Furgón 5P. T/M Otto",M,Gasolina,Combustión,1.4,Furgón,189,9.4,15.5,12.5
Subaru,"XV 2,0D 2,0 Lts. Station Wagon 5P. T/M Diésel ",M,Diésel,Combustión,2.0,Station Wagon,141,14.9,21.7,18.5
Audi,"S6 4,0 Lts. Sedán 4P. T/A Otto ",A,Gasolina,Combustión,4.0,Sedán,214,7.6,14.5,10.9
Renault,"Clio IV 1,2 Lts. Hatchback 5P. T/M Otto",M,Gasolina,Combustión,1.2,Hatchback,130,13.9,20.4,17.5
Faw,"V80 1,5 Lts. Furgón 5P. T/M Otto ",M,Gasolina,Combustión,1.5,Furgón,169,11.3,16.2,14.0
Faw,"T80 1,5 Lts. Camioneta 2P. T/M Otto ",M,Gasolina,Combustión,1.5,Camioneta,169,11.3,16.2,14.0
Faw,"T80 Box 1,5 Lts. Camioneta 2P. T/M Otto",M,Gasolina,Combustión,1.5,Camioneta,169,11.3,16.2,14.0
Faw,"T80 DC 1,5 Lts. Camioneta 4P. T/M Otto",M,Gasolina,Combustión,1.5,Camioneta,182,10.1,15.5,12.9
Citroen,"C4 Cactus Hdi STT 1,6 Lts. Hatchback 5P. T/M Diésel",M,Diésel,Combustión,1.6,Hatchback,99,24.2,28.3,26.6
Baic,"Zoom 2,4 Lts. Tipo Jeep 3P. T/M Otto ",M,Gasolina,Combustión,2.4,Jeep,266,6.6,11.3,8.9
Chery,"Arrizo 3 1,5 Lts. Sedán 4P. T/M Motor Otto",M,Gasolina,Combustión,1.5,Sedán,181,9.8,16.3,13.1
Volvo,"XC90 D5 2,0 Lts. Station Wagon 5P. 7 asientos T/A Motor Diésel ",A,Diésel,Combustión,2.0,Station Wagon,152,15.6,18.2,17.2
Volvo,"XC90 D5 2,0 Lts. Station Wagon 5P. 5 asientos T/A Motor Diésel ",A,Diésel,Combustión,2.0,Station Wagon,152,15.6,18.2,17.2
BMW,"120i 1,6 Lts. Hatchback 5P. T/A Otto ",A,Gasolina,Combustión,1.6,Hatchback,129,14.1,21.7,17.9
BMW,"120i 1,6 Lts. Hatchback 3P. T/A Otto ",A,Gasolina,Combustión,1.6,Hatchback,133,13.5,20.8,17.5
Fiat,"Qubo Dynamic 1,4 (300.5PB) Hatchback 4P. T/M Otto ",M,Gasolina,Combustión,1.4,Hatchback,182,9.9,15.9,13.0
Fiat,"Qubo Active 1,4 (300.4PB) Hatchback 4P. T/M Otto ",M,Gasolina,Combustión,1.4,Hatchback,182,9.9,15.9,13.0
Volvo,"V40 T5 2,0 Hatchback 5P. T/A Otto ",A,Gasolina,Combustión,2.0,Hatchback,187,8.9,16.9,12.7
Volvo,"V40 CC T5 2,0 Hatchback 5P. T/A Otto  ",A,Gasolina,Combustión,2.0,Hatchback,187,8.9,16.9,12.7
BMW,"120i 1,6 Lts. Hatchback 3P. T/M Otto ",M,Gasolina,Combustión,1.6,Hatchback,132,13.5,21.3,17.5
Fiat,"Punto Pop E6 1,2 Lts.Hatchback 5P. T/M Otto ",M,Gasolina,Combustión,1.2,Hatchback,151,12.3,18.7,15.7
Fiat,"Punto Pop E6 1,2 Lts. Hatchback 3P. T/M Otto ",M,Gasolina,Combustión,1.2,Hatchback,151,12.3,18.7,15.7
Hyundai,"Tucson TL 2,0 Station Wagon 5P. T/M 4x4 Otto ",M,Gasolina,Combustión,2.0,Station Wagon,193,9.1,14.9,12.1
Hyundai,"Tucson TL 2,0 Lts. Station Wagon 5P. T/M 4x2 Otto ",M,Gasolina,Combustión,2.0,Station Wagon,186,9.2,15.7,12.5
Mazda,"Mazda2 1,5 Lts. Sedán 4P. T/M Otto ",M,Gasolina,Combustión,1.5,Sedán,136,13.3,21.6,17.6
Suzuki,"Vitara 1,6 Lts. Station Wagon 5P. T/M 4x4 Otto ",M,Gasolina,Combustión,1.6,Station Wagon,150,12.9,18.3,15.9
Suzuki,"Vitara 1,6 Lts. Station Wagon 5P. T/M 4x2 Otto ",M,Gasolina,Combustión,1.6,Station Wagon,150,12.9,18.3,15.9
Mazda,"Mazda2 Sport 1,5 Lts. Hatchback 5P. T/A Otto ",A,Gasolina,Combustión,1.5,Hatchback,140,12.9,20.9,17.0
Suzuki,"Vitara 1,6 Lts. Station Wagon 5P. T/A 4x4 Otto ",A,Gasolina,Combustión,1.6,Station Wagon,153,12.3,18.3,15.6
Suzuki,"Vitara 1,6 Lts. Station wagon 5P. T/A 4x2 Otto ",A,Gasolina,Combustión,1.6,Station Wagon,153,12.3,18.3,15.6
Hyundai,"Tucson TL 2,0 Lts. Station Wagon 5P. T/A 4x4 Otto ",A,Gasolina,Combustión,2.0,Station Wagon,200,8.6,14.5,11.6
Hyundai,"Tucson TL 2,0 Lts. Station Wagon 5P. T/A 4x2 Otto ",A,Gasolina,Combustión,2.0,Station Wagon,189,8.8,15.9,12.3
BMW,"116d 1,5 Lts. Hatchback 5P. T/A Diésel ",A,Diésel,Combustión,1.5,Hatchback,96,24.4,29.4,27.8
Foton,"Terracota GX ST 2,4 Lts. Pick Up Cabina doble 4P. T/M Otto ",M,Gasolina,Combustión,2.4,Camioneta,247,7.5,11.6,9.6
Foton,"Terracota GX ST 2,4 Lts. Pick Up Cabina simple 2P. T/M Otto ",M,Gasolina,Combustión,2.4,Camioneta,247,7.5,11.6,9.6
Foton,"Midi Pick Up DC 1,3 Lts. 4P. T/M 4x2 Otto ",M,Gasolina,Combustión,1.3,Camioneta,185,10.4,14.8,12.8
Foton,"Midi Pick Up CS 1,3 Lts. 2P. T/M 4x2 Otto",M,Gasolina,Combustión,1.3,Camioneta,185,10.4,14.8,12.8
Foton,"Midi Cargo Box 1,3 Lts. 2P. T/M 4x2 Otto ",M,Gasolina,Combustión,1.3,Furgón,185,10.4,14.8,12.8
Volvo,"XC90 T6 2,0 Lts. Station Wagon 5P. T/A Motor Otto ",A,Gasolina,Combustión,2.0,Station Wagon,182,10.2,14.9,12.8
Citroen,"C3 1,2 Lts. Hatchback 5P. T/M Otto",M,Gasolina,Combustión,1.2,Hatchback,112,17.2,23.3,20.4
Citroen,"DS4 1,6 Lts. Hatchback 5P. T/M Diésel ",M,Diésel,Combustión,1.6,Hatchback,111,20.5,26.1,23.8
MG,"MG GT 1,4 Lts. Turbo Sedán 4P. T/M 4x2 Otto ",M,Gasolina,Combustión,1.4,Sedán,163,11.2,17.8,14.6
MG,"MG GT 1,4 Lts. Turbo Sedán 4P. T/M 4x2",M,Gasolina,Combustión,1.4,Sedán,167,10.9,17.2,14.2
MG,"MG GT 1,4 Lts. Turbo Sedán 4P. T/A 4x2 Otto ",A,Gasolina,Combustión,1.4,Sedán,160,11.2,18.3,14.9
MG,"MG GT 1,4 Lts. Turbo Sedán 4P. T/A 4x2",A,Gasolina,Combustión,1.4,Sedán,159,11.2,18.3,14.8
MG,"MG GT 1,5 Lts. VCT Sedán 4P. T/M 4x2 Otto",M,Gasolina,Combustión,1.5,Sedán,159,11.4,18.2,14.9
MG,"MG GT 1,5 Lts. VCT Sedán 4P. T/M 4x2",M,Gasolina,Combustión,1.5,Sedán,157,11.7,18.2,15.1
MG,"MG GT 1,5 Lts. VCT Sedán 4P. T/M 4x2 Otto",M,Gasolina,Combustión,1.5,Sedán,164,11.0,17.6,14.4
Volvo,"V40 D2 2,0 Lts. Hatchback 5P. T/M Motor Diésel ",M,Diésel,Combustión,2.0,Hatchback,112,18.9,27.0,23.3
Volvo,"V40 CC D2 2,0 Lts. Hatchback 5P. T/M ",M,Diésel,Combustión,2.0,Hatchback,112,18.9,27.0,23.3
Audi,"A6 T Quattro 3,0 Lts. Sedán 4P. T/A Otto ",A,Gasolina,Combustión,3.0,Sedán,172,10.2,16.7,13.5
MG,"MG GT 1,5 Lts. VCT Sedán 4P. T/A 4x2 Otto ",A,Gasolina,Combustión,1.5,Sedán,173,10.4,16.9,13.8
MG,"MG GT 1,5 Lts. VCT Sedán 4P. T/A 4x2",A,Gasolina,Combustión,1.5,Sedán,168,10.5,17.5,14.1
MG,"MG GT 1,5 Lts. VCT Sedán 4P. T/A 4x2 Otto ",A,Gasolina,Combustión,1.5,Sedán,170,10.4,17.3,13.9
Volvo,"V40 D2 2,0 Lts. Hatchback 5P. T/A Motor Diésel ",A,Diésel,Combustión,2.0,Hatchback,119,17.4,26.2,22.2
Volvo,"V40CC D2 2,0 Lts. Hatchback 5P. T/A Diésel",A,Diésel,Combustión,2.0,Hatchback,119,17.4,26.2,22.2
Piaggio,"Porter Maxi Short Tipper 1,3 Lts. Pick Up 2P. T/M Dual (Gasolina/GLP)",M,Gasolina/GLP,Combustión,1.3,Camioneta,-,-,-,-
Piaggio,"Porter Maxi 1,3 Lts. Chasis Cabina 2P. T/M Dual (Gasolina/GLP)",M,Gasolina/GLP,Combustión,1.3,Camioneta,-,-,-,-
Piaggio,"Porter Maxi Tipper Long Deck 1,3 Lts. Pick Up 2P. T/M Dual (Gasolina/GLP)",M,Gasolina/GLP,Combustión,1.3,Camioneta,-,-,-,-
Great Wall,"Wingle 6 2,0 Lts. Pick Up 4P. T/M 4x2 Diésel ",M,Diésel,Combustión,2.0,Camioneta,214,10.1,14.2,12.3
Audi,"Q3 T 1,4 Lts. Station Wagon 5P. T/A Otto ",A,Gasolina,Combustión,1.4,Station Wagon,176,10.7,15.8,13.5
Great Wall,"Wingle 6 2,0 Lts. Pick Up 4P. T/M 4x4 Diésel ",M,Diésel,Combustión,2.0,Camioneta,231,9.1,13.5,11.5
Skoda,"Fabia 1,4 Lts. Hatchback 5P. T/M Diésel",M,Diésel,Combustión,1.4,Hatchback,116,17.7,27.2,22.7
Mini,"F56 John Cooper Works 2,0 Lts. Hatchback 3P. T/A Otto",A,Gasolina,Combustión,2.0,Hatchback,158,11.0,19.1,15.0
Mini,"F57 John Cooper Works Cabrio 2,0 Lts. Cabriolet 2P. T/A Otto",A,Gasolina,Combustión,2.0,Cabriolet,158,11.0,19.1,15.0
Mini,"F56 John Cooper Works 2,0 Lts. Hatchback 3P. T/A Otto",A,Gasolina,Combustión,2.0,Hatchback,144,12.4,20.4,16.6
Mini,"F57 John Cooper Works Cabrio 2,0 Lts. Cabriolet 2P. T/A Otto",A,Gasolina,Combustión,2.0,Cabriolet,144,12.4,20.4,16.6
Peugeot,"5008 1,6 Lts. Blue-HDI 120 HP Station Wagon (7 plazas) 5P. T/A Diésel ",A,Diésel,Combustión,1.6,Station Wagon,133,15.8,23.5,19.9
Peugeot,"5008 1,6 Lts. Blue-HDI 120 HP Station Wagon (5 plazas) 5P. T/A Diésel ",A,Diésel,Combustión,1.6,Station Wagon,133,15.8,23.5,19.9
Porsche,"911 Carrera S Coupé 3,8 Lts. 2P. T/M Otto",M,Gasolina,Combustión,3.8,Coupé,228,7.2,14.0,10.5
Porsche,"911 Carrera 4S Coupé 3,8 Lts. 2P. T/M Otto",M,Gasolina,Combustión,3.8,Coupé,233,7.0,13.3,10.1
M. Benz,"C 63 AMG 6,2 Lts. Sedán 4P. T/A Otto",A,Gasolina,Combustión,6.2,Sedán,330,4.8,10.1,7.2
Skoda,"Fabia 1,2 Lts. Hatchback 5P. T/A Otto",A,Gasolina,Combustión,1.2,Hatchback,130,14.0,22.1,18.2
DFSK,"Cargo Van C35 1,5 Lts. Furgón 5P. T/M Otto",M,Gasolina,Combustión,1.5,Furgón,194,9.8,14.4,12.3
DFSK,"Truck SC Serie C 1,5 Lts. Camioneta 2P. T/M Otto",M,Gasolina,Combustión,1.5,Camioneta,194,9.8,14.4,12.3
DFSK,"Truck DC Serie C 1,5 Lts. Camioneta 4P. T/M Otto ",M,Gasolina,Combustión,1.5,Camioneta,194,9.8,14.4,12.3
DFSK,"Cargo Box Serie C 1,5 Lts. Camioneta 2P. T/M Otto ",M,Gasolina,Combustión,1.5,Camioneta,194,9.8,14.4,12.3
DFSK,"Cargo Box DC Serie C 1,5 Lts. Camioneta 4P. T/M Otto ",M,Gasolina,Combustión,1.5,Camioneta,194,9.8,14.4,12.3
DFSK,"Refritruck Serie C 1,5 Lts. Camioneta 2P. T/M Otto ",M,Gasolina,Combustión,1.5,Camioneta,194,9.8,14.4,12.3
Skoda,"Fabia 1,2 Lts. Hatchback 5P. T/M Otto",M,Gasolina,Combustión,1.2,Hatchback,132,13.5,22.4,18.0
M. Benz,"GLE 350d 4 Matic 3,0 Lts. Station Wagon 5P. T/A 4x4 Diésel ",A,Diésel,Combustión,3.0,Station Wagon,182,13.5,15.9,14.9
M. Benz,"GLE 350d 4 Matic Coupé 3,0 Lts. Station Wagon 5P. T/A 4x4 Diésel ",A,Diésel,Combustión,3.0,Station Wagon,180,13.3,15.6,14.5
Fiat,"500 Pop 1,2 Lts. Hatchback 3P. T/M Otto ",M,Gasolina,Combustión,1.2,Hatchback,137,13.1,21.4,17.3
Fiat,"500 Pop 1,2 Lts. Cabriolet 2P. T/M Otto ",M,Gasolina,Combustión,1.2,Cabriolet,137,13.1,21.4,17.3
Fiat,500 Cult,M,Gasolina,Combustión,1.2,Hatchback,137,13.1,21.4,17.3
Fiat,500 Cult Cabrio,M,Gasolina,Combustión,1.2,Cabriolet,137,13.1,21.4,17.3
Chevrolet,"Sail 1,5 Lts. Sedán 4P. T/M Otto ",M,Gasolina,Combustión,1.5,Sedán,153,11.6,19.4,15.6
Lamborghini,"Aventador LP 700-4 6,5 Lts. Coupé 2P. T/A Otto ",A,Gasolina,Combustión,6.5,Coupé,369,4.0,9.3,6.3
Lamborghini,"Aventador LP 700-4 Roadster 6,5 Lts. Convertible 2P. T/A Otto",A,Gasolina,Combustión,6.5,Cabriolet,369,4.0,9.3,6.3
Citroen,"C4 Cactus STT 1,2 Lts. Hatchback 5P. T/M Otto ",M,Gasolina,Combustión,1.2,Hatchback,118,16.4,23.3,20.4
Mazda,"Mazda2 1,5 Lts. Sedán 4P. T/A Otto ",A,Gasolina,Combustión,1.5,Sedán,138,13.0,21.2,17.2
M. Benz,"GLE 400 4 Matic Coupé 3,0 Lts. Station Wagon 4P. T/A 4x4 Otto",A,Gasolina,Combustión,3.0,Station Wagon,264,8.8,13.0,11.1
M. Benz,"GLE 450 AMG Coupé 3,0 Lts. Station Wagon 4P. T/A 4x4 Otto ",A,Gasolina,Combustión,3.0,Station Wagon,264,8.8,13.0,11.2
M. Benz,"AMG GLE 43 4Matic Coupé 3,0 Lts. Station Wagon 4P. T/A 4x4 Otto",A,Gasolina,Combustión,3.0,Station Wagon,264,8.8,13.0,11.2
M. Benz,"AMG GLE 43 4Matic Coupé 3,0 Lts. Station Wagon 4P. 4x4 T/A Otto",A,Gasolina,Combustión,3.0,Station Wagon,215,8.4,12.5,10.6
M. Benz,"C 63 AMG S 4,0 Lts. Sedán 4P. T/A Otto ",A,Gasolina,Combustión,4.0,Sedán,261,6.0,12.9,9.1
M. Benz,"C 63 AMG 4,0 Lts. Sedán 4P. T/A Otto ",A,Gasolina,Combustión,4.0,Sedán,261,6.0,12.9,9.1
M. Benz,"C 63 AMG State 4,0 Lts. Station Wagon 5P. T/A Otto",A,Gasolina,Combustión,4.0,Station Wagon,261,6.0,12.9,9.1
Honda,"HR-V EX 1,8 Lts. Station Wagon 5P. T/A CVT 4x2 Otto ",A,Gasolina,Combustión,1.8,Station Wagon,164,11.1,17.6,14.5
Honda,"HR-V LX 1,8 Lts. Station Wagon 5P. T/A CVT 4x2 Otto ",A,Gasolina,Combustión,1.8,Station Wagon,164,11.1,17.6,14.5
Honda,"HR-V EX-L 1,8 Lts. Station Wagon 5P. T/A CVT 4x4 Otto",A,Gasolina,Combustión,1.8,Station Wagon,164,11.1,17.6,14.5
