Marca,Modelo,Transmision,combustible,propulsion,cilindrada,carroceria,Emisiones de CO2 (g/km),Consumo Ciudad,Consumo Carretera,Consumo Mixto
Opel,Movano Furgón L2H2 Diesel 165,M,Diésel ,Combustión,2.2,Furgón,213,11.2,13.2,12.4
Mahindra,XUV300 1.2T MPI 6MT E6b,M,Gasolina,Combustión,1.2,Station Wagon,158,12.1,17.5,15
Mitsubishi,L200 Dakar 2.2 MT 4x4,M,Diésel ,Combustión,2.2,Camioneta,200,11.8,14.1,13.1
Mitsubishi,L200 Katana CRT 2.2 MT 4x4,M,Diésel ,Combustión,2.2,Camioneta,200,11.8,14.1,13.1
Mitsubishi,L200 Katana CRM 2.2 MT 4x4,M,Diésel ,Combustión,2.2,Camioneta,200,11.8,14.1,13.1
Mitsubishi,L200 Katana CR 2.2 MT 4x2,M,Diésel ,Combustión,2.2,Camioneta,200,11.8,14.1,13.1
Mitsubishi,L200 Work 2.2 MT 4x2,M,Diésel ,Combustión,2.2,Camioneta,200,11.8,14.1,13.1
Opel,"Corsa 1,2 Lts. 100 Hp 5 Puertas T/A",A,Gasolina,Combustión,1.2,Hatchback,108,19,24.6,22.2
Great Wall,Poer ONE 2.0 G. MT 4x4,M,Gasolina,Combustión,2,Camioneta,296,5.8,9.8,7.8
Great Wall,Poer ONE 2.0 G. MT 4x2,M,Gasolina,Combustión,2,Camioneta,271,6.4,11.6,8.5
Mazda,"Mazda2 1,5 SDN MT 2WD",M,Gasolina,Combustión,1.5,Sedán,133,13.4,21.1,17.4
Mazda,"Mazda2 1,5 MT 2WD",M,Gasolina,Combustión,1.5,Hatchback,133,13.8,21.5,17.8
Mazda,"Mazda2 1,5 SDN AT 2WD",A,Gasolina,Combustión,1.5,Sedán,143,12.7,20.1,16.6
M. Benz,GLC 200 4M,A,Gasolina/Híbrido,Vehículo Microhíbrido,2,Station Wagon,167,10.4,16.7,13.5
Changan,CS15 1.5 vvt MT,M,Gasolina,Combustión,1.5,Hatchback,151,11.9,19.2,15.6
Fiat,Ducato Chasis L4 Doble Cabina,M,Diésel ,Combustión,2.2,Camioneta,217,11,12.9,12.1
Fiat,Ducato Chasis L2,M,Diésel ,Combustión,2.2,Camioneta,217,11,12.9,12.1
Fiat,Ducato Chasis L3,M,Diésel ,Combustión,2.2,Camioneta,217,11,12.9,12.1
Mazda,"Mazda6 2,5 Turbo AT",A,Gasolina,Combustión,2.5,Sedán,195,8.7,15.7,12.2
Peugeot,208 Style Puretech 75,M,Gasolina,Combustión,1.2,Hatchback,140,12.9,20.5,16.8
Changan,CS55 1.5 Turbo AT,A,Gasolina,Combustión,1.5,Station Wagon,211,9.2,12.9,11.2
Citroen,Jumper Doble Cabina L4 BLUEHDI 165,M,Diésel ,Combustión,2.2,Camioneta,217,11,12.9,12.1
Citroen,Jumper Cabina L3 BLUEHDI 165,M,Diésel ,Combustión,2.2,Camioneta,217,11,12.9,12.1
Citroen,Jumper Cabina L2 BLUEHDI 165,M,Diésel ,Combustión,2.2,Camioneta,217,11,12.9,12.1
Peugeot,Boxer Doble Cabina L4 BLUEHDI 165,M,Diésel ,Combustión,2.2,Camioneta,217,11,12.9,12.1
Peugeot,Boxer Cabina L3 BLUEHDI 165,M,Diésel ,Combustión,2.2,Camioneta,217,11,12.9,12.1
Peugeot,Boxer Cabina L2 BLUEHDI 165,M,Diésel ,Combustión,2.2,Camioneta,217,11,12.9,12.1
Opel,Movano Doble Cabina L4 Diesel 165,M,Diésel ,Combustión,2.2,Camioneta,217,11,12.9,12.1
Opel,Movano Cabina L3 Diesel 165,M,Diésel ,Combustión,2.2,Camioneta,217,11,12.9,12.1
Opel,Movano Cabina L2 Diesel 165,M,Diésel ,Combustión,2.2,Camioneta,217,11,12.9,12.1
Ford,Ranger LTD,M,Diésel ,Combustión,2,Camioneta,221,10,13.5,11.9
Ford,Ranger 2.0 T/M XL 4x4,M,Diésel ,Combustión,2,Camioneta,221,10,13.5,11.9
Mazda,BT50 3.0 AT 4WD,A,Diésel ,Combustión,3,Camioneta,239,9,12.7,11.1
Mazda,CX-30 2.5 AT AWD,A,Gasolina,Combustión,2.5,Station Wagon,162,10.9,17,14.1
Mazda,BT50 3.0 MT 4WD,M,Diésel ,Combustión,3,Camioneta,240,8.9,12.8,11
Mazda,BT50 3.0 MT 2WD,M,Diésel ,Combustión,3,Camioneta,240,8.9,12.8,11
Shineray,X30 1.5 MPI Furgón MT E6b,M,Gasolina,Combustión,1.5,Furgón,181,9.9,16.3,12.6
Land Rover,Defender 90 3.0iD S MHEV,A,Gasolina/Híbrido,Vehículo Microhíbrido,3,Station Wagon,199,10.6,15.2,13.2
Land Rover,Defender 90 3.0iD HSE MHEV,A,Gasolina/Híbrido,Vehículo Microhíbrido,3,Station Wagon,199,10.6,15.2,13.2
Land Rover,Defender 90 3.0iD MHEV,A,Gasolina/Híbrido,Vehículo Microhíbrido,3,Station Wagon,199,10.6,15.2,13.2
Land Rover,Defender 90 3.0iD SE MHEV,A,Gasolina/Híbrido,Vehículo Microhíbrido,3,Station Wagon,199,10.6,15.2,13.2
Land Rover,Defender 90 3.0iD X-Dynamic S MHEV ,A,Gasolina/Híbrido,Vehículo Microhíbrido,3,Station Wagon,199,10.6,15.2,13.2
Land Rover,Defender 90 3.0iD X-Dynamic SE MHEV,A,Gasolina/Híbrido,Vehículo Microhíbrido,3,Station Wagon,199,10.6,15.2,13.2
Land Rover,Defender 90 3.0iD X-Dynamic HSE MHEV,A,Gasolina/Híbrido,Vehículo Microhíbrido,3,Station Wagon,199,10.6,15.2,13.2
Land Rover,Defender 90 3.0iD XS Edition MHEV ,A,Gasolina/Híbrido,Vehículo Microhíbrido,3,Station Wagon,199,10.6,15.2,13.2
Ford,Ranger WildTrak,A,Diésel ,Combustión,3,Camioneta,233,9.9,12.2,11.3
Ford,Ranger 3.0 T/A LTD,A,Diésel ,Combustión,3,Camioneta,233,9.9,12.2,11.3
M. Benz,GLC 220d 4M,A,Diesel/Hibrido,Vehículo Microhíbrido,2,Station Wagon,130,16.1,23.8,20.4
Ford,Explorer 2.3 4WD,A,Gasolina,Combustión,2.3,Station Wagon,244,7.1,11.8,9.5
Ford,Explorer 2.3 RWD,A,Gasolina,Combustión,2.3,Station Wagon,244,7.1,11.8,9.5
Jaguar,XF 2.0i R-Dynamic S,A,Gasolina,Combustión,2,Sedán,174,10.4,15.2,13
Jaguar,XF 2.0i R-Dynamic HSE,A,Gasolina,Combustión,2,Sedán,174,10.4,15.2,13
Jaguar,XF 2.0i R-Dynamic SE,A,Gasolina,Combustión,2,Sedán,174,10.4,15.2,13
Jaguar,XF 2.0i 300 Sport,A,Gasolina,Combustión,2,Station Wagon,174,10.4,15.2,13
Jaguar,XF 2.0i 300 Sportbrake,A,Gasolina,Combustión,2,Station Wagon,174,10.4,15.2,13
Jaguar,XF 2.0i R-Dynamic Black,A,Gasolina,Combustión,2,Sedán,174,10.4,15.2,13
Jaguar,XE 2.0i R-Dynamic SE,A,Gasolina,Combustión,2,Sedán,159,11,17.1,14.2
Jaguar,XE 2.0i R-Dynamic S,A,Gasolina,Combustión,2,Sedán,159,11,17.1,14.2
Jaguar,XE 2.0i S,A,Gasolina,Combustión,2,Sedán,159,11,17.1,14.2
Jaguar,XE 2.0i R-Dynamic HSE,A,Gasolina,Combustión,2,Sedán,159,11,17.1,14.2
Jaguar,XE 2.0i SE,A,Gasolina,Combustión,2,Sedán,159,11,17.1,14.2
Jaguar,XE 2.0i R-Dynamic Black,A,Gasolina,Combustión,2,Sedán,159,11,17.1,14.2
Jaguar,XF 2.0i SE,A,Gasolina,Combustión,2,Sedán,181,10.1,14.8,12.6
Jaguar,XF 2.0i S,A,Gasolina,Combustión,2,Sedán,181,10.1,14.8,12.6
Jaguar,XF 2.0i R-Dynamic S,A,Gasolina,Combustión,2,Sedán,181,10.1,14.8,12.6
Jaguar,XF 2.0i R-Dynamic SE,A,Gasolina,Combustión,2,Sedán,181,10.1,14.8,12.6
Jaguar,XF 2.0i R-Dynamic HSE,A,Gasolina,Combustión,2,Sedán,181,10.1,14.8,12.6
Jaguar,XF 2.0i R-Dynamic Black,A,Gasolina,Combustión,2,Sedán,181,10.1,14.8,12.6
Jaguar,XF 2.0i S Sportbrake,A,Gasolina,Combustión,2,Sedán,181,10.1,14.8,12.6
Jaguar,XF 2.0i R-Dynamic S Sportbrake,A,Gasolina,Combustión,2,Sedán,181,10.1,14.8,12.6
Jaguar,XF 2.0i R-Dynamic SE Sportbrake,A,Gasolina,Combustión,2,Sedán,181,10.1,14.8,12.6
Jaguar,XF 2.0i R-Dynamic HSE Sportbrake,A,Gasolina,Combustión,2,Sedán,181,10.1,14.8,12.6
Jaguar,XF 2.0i R-Dynamic Black Sportbrake,A,Gasolina,Combustión,2,Sedán,181,10.1,14.8,12.6
Ford,Ranger LTD,A,Diésel ,Combustión,2,Camioneta,221,10,13.5,11.9
Ford,Ranger 2.0 T/A XLT 4x4,A,Diésel ,Combustión,2,Camioneta,221,10,13.5,11.9
Ford,Ranger 2.0 T/A XLT 4x2,A,Diésel ,Combustión,2,Camioneta,221,10,13.5,11.9
Porsche,Cayenne S E3,A,Gasolina,Combustión,2.9,Station Wagon,218,8.5,11.9,10.6
Porsche,Cayenne S Coupé E3,A,Gasolina,Combustión,2.9,Station Wagon,218,8.5,11.9,10.6
Porsche,Cayenne S Coupé E3 4 Asientos,A,Gasolina,Combustión,2.9,Station Wagon,218,8.5,11.9,10.6
Land Rover,Range Rover Evoque 2.0i R-Dynamic S MHEV,A,Gasolina/Híbrido,Vehículo Microhíbrido,2,Station Wagon,186,9.6,14.5,12.2
Land Rover,Range Rover Evoque 2.0i R-Dynamic HSE MHEV,A,Gasolina/Híbrido,Vehículo Microhíbrido,2,Station Wagon,186,9.6,14.5,12.2
Land Rover,Range Rover Evoque 2.0i R-Dynamic SE MHEV,A,Gasolina/Híbrido,Vehículo Microhíbrido,2,Station Wagon,186,9.6,14.5,12.2
Land Rover,Range Rover Evoque 2.0i  S MHEV,A,Gasolina/Híbrido,Vehículo Microhíbrido,2,Station Wagon,186,9.6,14.5,12.2
Land Rover,Range Rover Evoque 2.0i  SE MHEV,A,Gasolina/Híbrido,Vehículo Microhíbrido,2,Station Wagon,186,9.6,14.5,12.2
Land Rover,Range Rover Evoque 2.0i  Autobiography MHEV,A,Gasolina/Híbrido,Vehículo Microhíbrido,2,Station Wagon,186,9.6,14.5,12.2
Land Rover,Range Rover Evoque 2.0i  Bronze collection MHEV,A,Gasolina/Híbrido,Vehículo Microhíbrido,2,Station Wagon,186,9.6,14.5,12.2
Porsche,Cayenne GTS E3,A,Gasolina,Combustión,4,Station Wagon,287,5.5,10.7,7.9
Porsche,Cayenne GTS Coupe E3,A,Gasolina,Combustión,4,Station Wagon,287,5.5,10.7,7.9
Porsche,Cayenne GTS Coupe E3 4 Asientos,A,Gasolina,Combustión,4,Station Wagon,287,5.5,10.7,7.9
Maserati,Grecale GT,A,Gasolina/Híbrido,Vehículo Microhíbrido,2,Station Wagon,188,8.9,15.4,12.1
Maserati,Grecale Modena,A,Gasolina/Híbrido,Vehículo Microhíbrido,2,Station Wagon,188,8.9,15.4,12.1
Ram,RAM 1000 REBEL 2.0 AT9 4WD JTD,A,Gasolina,Combustión,2,Camioneta,206,9.8,15.7,12.9
Subaru,Crosstrek 2.0 CVT,A,Gasolina,Combustión,2,Station Wagon,160,11,17,14.1
Changan,MD201 1.5 MT,M,Gasolina,Combustión,1.5,Camioneta,207,9.5,12.9,11.4
Changan,MD201 1.5 Cargo Box,M,Gasolina,Combustión,1.5,Camioneta,207,9.5,12.9,11.4
KYC,X5 Plus 1.8 Cargo Box,M,Gasolina,Combustión,1.8,Furgón,239,7.8,11.9,10
KYC,X5 Plus 1.8 Pick Up D/C,M,Gasolina,Combustión,1.8,Camioneta,239,7.8,11.9,10
KYC,X5 Plus 1.8 Pick Up S/C,M,Gasolina,Combustión,1.8,Camioneta,239,7.8,11.9,10
Karry,Q22 DC 1.5,M,Gasolina,Combustión,1.5,Camioneta,179,10.6,15.4,13.2
Karry,Q22 CS 1.5,M,Gasolina,Combustión,1.5,Camioneta,179,10.6,15.4,13.2
Karry,Q22 Cargo Box 1.5,M,Gasolina,Combustión,1.5,Camioneta,179,10.6,15.4,13.2
ZX Auto,Terralord D/C 4x4 2.8T Extra Long,M,Diésel ,Combustión,2.8,Camioneta,238,9.2,12.6,11.1
ZX Auto,Terralord D/C 4x4 2.8T,M,Diésel ,Combustión,2.8,Camioneta,238,9.2,12.6,11.1
ZX Auto,Terralord D/C 4x2 2.8T,M,Diésel ,Combustión,2.8,Camioneta,238,9.2,12.6,11.1
Ford,Transit Custom,M,Diésel ,Combustión,2,Furgón,195,12.3,14.3,13.5
Chevrolet,Captiva 1.5L CVT 7 Asientos,A,Gasolina,Combustión,1.5,Station Wagon,206,8.9,13.8,11.5
Chevrolet,Captiva 1.5L CVT 5 Asientos,A,Gasolina,Combustión,1.5,Station Wagon,206,8.9,13.8,11.5
Porsche,718 Boxster GTS 4.0,A,Gasolina,Combustión,4,Cabriolet,263,5.9,12.9,9
Porsche,718 Cayman GTS 4.0,A,Gasolina,Combustión,4,Cabriolet,263,5.9,12.9,9
Jaguar,E-Pace 2.0i R-Dynamic S MHEV,A,Gasolina/Híbrido,Vehículo Microhíbrido,2,Station Wagon,184,9.6,14.7,12.4
Jaguar,E-Pace 2.0i R-Dynamic MHEV,A,Gasolina/Híbrido,Vehículo Microhíbrido,2,Station Wagon,184,9.6,14.7,12.4
Jaguar,E-Pace 2.0i R-Dynamic SE MHEV,A,Gasolina/Híbrido,Vehículo Microhíbrido,2,Station Wagon,184,9.6,14.7,12.4
Jaguar,E-Pace 2.0i R-Dynamic HSE MHEV,A,Gasolina/Híbrido,Vehículo Microhíbrido,2,Station Wagon,184,9.6,14.7,12.4
Jaguar,E-Pace 2.0i R-Dynamic Black MHEV,A,Gasolina/Híbrido,Vehículo Microhíbrido,2,Station Wagon,184,9.6,14.7,12.4
Jaguar,E-Pace 2.0i MHEV,A,Gasolina/Híbrido,Vehículo Microhíbrido,2,Station Wagon,184,9.6,14.7,12.4
Jaguar,E-Pace 2.0i S MHEV,A,Gasolina/Híbrido,Vehículo Microhíbrido,2,Station Wagon,184,9.6,14.7,12.4
Jaguar,E-Pace 2.0i SE MHEV,A,Gasolina/Híbrido,Vehículo Microhíbrido,2,Station Wagon,184,9.6,14.7,12.4
Jaguar,E-Pace 2.0i HSE MHEV,A,Gasolina/Híbrido,Vehículo Microhíbrido,2,Station Wagon,184,9.6,14.7,12.4
Jac,T8 2.0 MT 4x4,M,Diésel ,Combustión,2,Camioneta,206,10.9,14.1,12.7
Jac,T8 2.0 MT 4x2,M,Diésel ,Combustión,2,Camioneta,206,10.9,14.1,12.7
Jeep,Commander Overland T270,A,Gasolina,Combustión,1.3,Station Wagon,185,9.7,15.7,12.8
Jeep,Commander Limited T270,A,Gasolina,Combustión,1.3,Station Wagon,185,9.7,15.7,12.8
Hyundai,"Porter HR 2,5 CRDI Camioneta C/S 6MT E6c",M,Diésel ,Combustión,2.5,Camioneta,259,7.9,12.3,10.2
Hyundai,"Porter HR 2,5 CRDI Camioneta D/C 6MT E6c",M,Diésel ,Combustión,2.5,Camioneta,259,7.9,12.3,10.2
Hyundai,"Porter HR 2,5 CRDI Camioneta Chasis Cabina 6MT E6c",M,Diésel ,Combustión,2.5,Camioneta,259,7.9,12.3,10.2
Porsche,Cayenne Turbo GT E3,A,Gasolina,Combustión,4,Station Wagon,274,5.9,10.9,8.3
Porsche,911 Turbo S Coupé 992,A,Gasolina,Combustión,3.7,Coupé,369,6.2,11.4,8.7
Porsche,911 Turbo S Cabriolet 992,A,Gasolina,Combustión,3.7,Cabriolet,369,6.2,11.4,8.7
Ford,Expedition,A,Gasolina,Combustión,3.5,Station Wagon,279,6,10.3,8.2
Jeep,Commander Overland DT380,A,Diésel ,Combustión,2,Station Wagon,199,9.9,16.5,13.3
Jeep,Commander Limited DT380,A,Diésel ,Combustión,2,Station Wagon,199,9.9,16.5,13.3
Changan,UNI-K 2.0 Turbo AT 4WD,A,Gasolina,Combustión,2,Station Wagon,219,8.1,13.4,10.8
Jac,T8 PRO 2.0 MT 4x4,M,Diésel ,Combustión,2,Camioneta,206,10.9,14.1,12.7
Jac,T8 PRO 2.0 MT 4x2,M,Diésel ,Combustión,2,Camioneta,206,10.9,14.1,12.7
MG,MG ONE 1.5T CVT,A,Gasolina,Combustión,1.5,Station Wagon,175,10.4,16.4,13.6
Jac,T6 2.0 MT 4x4,M,Diésel ,Combustión,2,Camioneta,206,10.9,14.1,12.7
Jac,T6 2.0 MT 4x2,M,Diésel ,Combustión,2,Camioneta,206,10.9,14.1,12.7
Jetour,"Dashing 1,5T 6DCT",A,Gasolina,Combustión,1.5,Station Wagon,190,9.6,15,12.5
Chery,Arrizo 6 Pro GLX MT,M,Gasolina,Combustión,1.5,Sedán,194,9.6,14.5,12.2
Chery,Arrizo 6 Pro GLS MT,M,Gasolina,Combustión,1.5,Station Wagon,194,9.6,14.5,12.2
Ford,Ranger XLT,M,Diésel ,Combustión,2,Camioneta,206,11.2,14,12.8
Ford,Ranger 2.0 T/M XL 4x4,M,Diésel ,Combustión,2,Camioneta,206,11.2,14,12.8
Ford,Ranger 2.0 T/M XL 4x2,M,Diésel ,Combustión,2,Camioneta,206,11.2,14,12.8
Ford,Ranger 2.0 T/M XLS 4x2,M,Diésel ,Combustión,2,Camioneta,206,11.2,14,12.8
Ford,Ranger 2.0 T/M XLS 4x4,M,Diésel ,Combustión,2,Camioneta,206,11.2,14,12.8
